,payment_type,maximum_fare,minimum_fare,avg_fare,std_dev_fare,maximum_time,minimum_time,avg_time,std_dev_time,maximum_distance,minimum_distance,avg_distance,std_dev_distance,rides
0,Way2ride,47.25,0.01,12.89,12.86,4200,0,759.7183098591547,751.9128737648354,18.30,0.00,3.75,5.60,142
1,No Charge,8912.00,0.00,14.53,30.15,84660,0,866.0701299175932,1623.0418259853247,1995.30,0.00,2.00,8.34,821036
2,Cash,9999.99,0.00,11.55,59.34,86400,0,726.9703889254029,1411.953767257074,3370.00,0.00,2.74,9.19,117165692
3,Credit Card,9783.32,0.00,16.11,15.47,86374,0,900.7462645933866,1014.7920212514044,3460.00,0.00,4.25,13.50,83195039
4,Unknown,9999.99,0.00,18.75,19.68,82440,0,1203.8580991784188,1062.2964205070311,923.30,0.00,3.85,6.35,1293550
5,Mobile,2140.05,0.00,15.73,11.67,85917,0,887.669950750108,916.2130400151949,3430.53,0.00,3.87,11.29,1760488
6,Dispute,1883.79,0.00,13.66,18.29,82020,0,817.8090903853911,974.4962235905485,1897.60,0.00,3.26,12.40,86805
7,Pcard,1000.05,0.00,9.50,17.55,82860,0,520.6904594022889,1449.108363621823,47.00,0.00,2.44,2.89,36874
8,Prepaid,93.50,2.90,22.18,15.64,6856,0,1286.0088251516827,956.7354473717457,39.09,0.00,7.54,6.65,1813
9,Prcard,600.00,0.00,22.03,9.97,85867,0,1375.9613122371413,1180.2104670426481,618.91,0.00,7.18,4.27,1656370
10,Split,150.00,0.25,14.39,13.84,12940,20,801.3954096455548,726.3737026080934,51.40,0.00,4.39,5.75,3442
